ID	RA	e_RA	DEC	e_DEC	Sint	e_Sint	Spk	e_Spk	MAJAX	e_MAJAX	MINAX	e_MINAX	PA	e_PA	Island_RMS	S_Code	Mosaic_Name
J141341.8+485718	213.42435	2.1	48.95511	2.1	100.6	12.3	95.3	10.4	26.6	1.2	24.8	1.0	30.4	24.7	4.1	S	R44D63
J141304.9+485256	213.27083	2.0	48.88225	2.0	383.5	39.0	381.1	38.3	25.2	0.3	25.0	0.3	86.3	48.1	4.0	S	R44D63
J141330.4+484436	213.37691	2.1	48.74338	2.0	217.6	22.7	138.5	14.5	36.6	1.3	26.8	0.7	-80.8	3.5	4.0	S	R44D63
J141253.5+485017	213.22324	2.1	48.8381	2.1	96.2	11.7	72.1	8.3	29.9	1.8	27.9	1.6	37.7	35.1	4.0	S	R44D63
J141259.2+484704	213.24673	2.9	48.78453	2.5	75.2	9.6	37.7	5.7	41.5	5.2	30.0	3.0	65.7	15.7	3.9	S	R44D63
J141238.4+484445	213.16028	2.0	48.74607	2.0	100.0	12.0	98.8	10.6	25.7	1.0	24.6	0.9	21.9	36.8	3.8	S	R44D63
J141424.6+480858	213.60271	2.1	48.1495	2.1	94.6	11.2	84.6	9.2	26.9	1.2	25.9	1.1	-59.4	46.1	3.5	S	R44D63
J141101.5+484604	212.75644	2.1	48.76803	2.1	103.2	11.7	77.5	8.5	31.1	1.5	26.7	1.1	5.3	11.3	3.3	S	R44D63
J141036.0+485041	212.65027	2.0	48.84478	2.0	511.8	51.5	482.4	48.3	25.9	0.2	25.6	0.2	-86.0	27.6	3.2	S	R44D63
J141047.7+483934	212.69894	2.0	48.65965	2.0	143.2	15.4	136.3	14.0	25.9	0.6	25.3	0.6	77.2	42.5	3.2	S	R44D63
J141032.8+482730	212.63693	2.0	48.45842	2.0	599.9	60.5	520.9	52.2	26.9	0.2	26.0	0.2	73.4	7.9	3.1	M	R44D63
J140902.3+492508	212.2597	2.1	49.41915	2.1	61.6	8.0	56.6	6.4	26.3	1.4	26.0	1.4	21.7	1.7	3.0	C	R43D63
J140858.8+492457	212.24538	2.0	49.41586	2.0	117.5	12.8	115.7	11.9	25.4	0.7	25.0	0.6	-9.4	72.8	3.0	C	R43D63
J140743.4+491755	211.93085	2.0	49.29886	2.0	230.1	23.5	213.1	21.5	26.0	0.3	25.9	0.3	-31.0	90.0	2.7	S	R43D63
J140711.1+491139	211.79648	2.0	49.19424	2.0	107.3	11.7	114.0	11.7	24.5	0.6	24.0	0.5	-8.3	55.1	2.7	S	R43D63
J140712.1+493218	211.80051	2.3	49.53845	2.2	52.6	6.9	35.3	4.6	32.4	2.8	28.7	2.3	64.4	31.4	2.8	S	R43D63
J140708.3+493610	211.78476	2.5	49.6029	2.5	72.0	8.3	32.3	4.4	38.4	3.7	36.3	3.3	31.5	70.9	2.8	S	R43D63
J140655.4+491639	211.73099	2.6	49.27772	2.4	24.8	5.1	21.1	3.4	29.7	4.2	24.6	2.9	-70.3	31.4	2.6	S	R43D63
J140620.9+492144	211.58746	2.0	49.36227	2.0	280.1	28.4	260.7	26.2	26.1	0.3	25.7	0.3	54.5	30.3	2.6	S	R43D63
J140432.7+493647	211.13644	2.0	49.61325	2.0	154.9	16.1	134.6	13.7	28.0	0.6	25.6	0.5	66.6	9.9	2.5	S	R43D63
J140518.8+492747	211.32867	2.0	49.46327	2.0	1970.1	197.1	1818.3	181.9	26.5	0.0	25.5	0.0	-16.8	2.5	2.5	S	R43D63
J140941.6+485606	212.42339	2.0	48.93527	2.0	93.5	10.6	82.1	8.8	28.2	1.1	25.2	0.9	47.1	15.9	3.0	S	R43D63
J140813.2+485436	212.05515	2.2	48.91017	2.2	46.5	6.4	35.3	4.5	29.7	2.4	27.7	2.1	38.4	47.8	2.6	S	R43D63
J140738.3+485959	211.9099	2.0	48.9999	2.0	279.3	28.3	271.4	27.3	25.4	0.2	25.3	0.2	78.0	62.5	2.6	S	R43D63
J140725.9+490733	211.85806	2.8	49.12604	2.5	28.4	5.3	20.9	3.5	32.6	4.8	26.0	3.2	-62.2	28.5	2.7	S	R43D63
J140635.9+491030	211.64967	2.3	49.17503	2.4	30.3	5.3	26.0	3.7	28.6	3.1	25.6	2.5	-15.9	40.8	2.6	S	R43D63
J140729.9+485936	211.8746	2.2	48.99335	2.3	21.3	5.0	24.7	3.5	23.9	2.5	22.6	2.2	-8.4	76.8	2.6	S	R43D63
J140811.2+483646	212.04694	2.1	48.61296	2.1	68.5	8.1	55.7	6.2	28.9	1.5	26.6	1.3	84.5	27.0	2.6	S	R43D63
J140736.7+483737	211.90294	2.0	48.62721	2.0	92.0	10.2	84.3	8.8	26.6	0.8	25.7	0.8	-52.9	36.7	2.5	S	R43D63
J140611.0+485000	211.54596	2.0	48.83336	2.0	101.8	11.0	94.5	9.8	26.6	0.7	25.3	0.6	-9.5	22.0	2.4	S	R43D63
J140604.6+485221	211.51924	2.1	48.8725	2.1	88.6	9.7	64.8	7.0	32.0	1.4	26.7	1.0	-43.2	11.0	2.4	S	R43D63
J140532.8+485515	211.38692	2.2	48.92086	2.2	33.3	5.3	30.6	3.9	26.8	2.2	25.4	2.0	-83.6	66.7	2.4	S	R43D63
J140547.1+490607	211.44632	2.3	49.10196	2.3	31.7	5.3	25.6	3.7	28.0	2.8	27.7	2.8	-88.9	1.1	2.5	S	R43D63
J140418.7+490610	211.07829	2.0	49.10281	2.0	138.3	14.4	137.4	14.0	25.3	0.4	24.8	0.4	7.0	33.7	2.4	S	R43D63
J140248.3+491356	210.70151	3.5	49.23223	2.6	28.6	4.5	16.1	2.9	40.3	6.9	27.6	3.6	-77.4	20.2	2.3	S	R43D63
J140502.0+485813	211.25844	2.1	48.97028	2.1	48.7	6.4	43.9	5.1	26.5	1.5	26.1	1.5	33.6	90.0	2.4	S	R43D63
J140445.5+485619	211.18976	2.0	48.93888	2.0	197.9	20.6	163.2	16.5	27.7	0.5	23.6	0.3	-59.6	4.2	2.4	M	R43D63
J140448.2+484958	211.20116	2.7	48.83304	2.7	24.0	4.6	17.7	3.1	31.8	4.8	26.6	3.5	-46.1	35.6	2.4	S	R43D63
J140249.9+491024	210.7081	2.2	49.17361	2.1	34.8	5.2	32.5	4.0	26.6	1.9	25.1	1.7	59.1	50.7	2.2	S	R43D63
J140220.6+491041	210.58604	2.0	49.17832	2.0	246.0	24.9	234.4	23.5	26.0	0.2	25.2	0.2	-30.5	13.7	2.2	S	R43D63
J140212.3+491232	210.55141	2.1	49.20899	2.1	45.1	5.9	45.3	5.0	25.6	1.3	24.3	1.1	-24.6	40.2	2.2	S	R43D63
J140302.1+485751	210.75903	2.0	48.96422	2.0	86.1	9.4	74.5	7.8	27.6	0.9	26.2	0.8	0.0	24.6	2.2	S	R43D63
